epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2459.35,1.27728,1.13685,1.53778,0.70848,0.71448,0.76748,0.4874,1.27184,0.96751,1.51387,0.0009308,0.0009308,0.0009308
83,2479.01,1.24756,1.14042,1.51545,0.7408,0.70241,0.79066,0.52408,1.23632,0.92156,1.48929,0.0009176,0.0009176,0.0009176
84,2497.85,1.2414,1.11905,1.52274,0.70399,0.73962,0.78114,0.51083,1.27366,0.93373,1.50757,0.0009044,0.0009044,0.0009044
85,2516.07,1.26993,1.10894,1.51147,0.71015,0.73592,0.78021,0.51366,1.22757,0.96253,1.48138,0.0008912,0.0008912,0.0008912
86,2534.24,1.26524,1.14236,1.50507,0.73153,0.71582,0.78909,0.51898,1.25588,0.95733,1.48526,0.000878,0.000878,0.000878
87,2552.38,1.24083,1.09496,1.50431,0.72229,0.72252,0.78347,0.51669,1.23594,0.94614,1.4855,0.0008648,0.0008648,0.0008648
88,2570.5,1.23323,1.09951,1.49742,0.7466,0.70375,0.79617,0.53792,1.19018,0.92106,1.47311,0.0008516,0.0008516,0.0008516
89,2589.47,1.23709,1.09842,1.48895,0.67272,0.74799,0.77481,0.51529,1.21419,0.9308,1.48422,0.0008384,0.0008384,0.0008384
90,2607.58,1.19765,1.06971,1.48666,0.70308,0.69839,0.77554,0.51708,1.20919,0.9718,1.47212,0.0008252,0.0008252,0.0008252
91,2625.73,1.24112,1.07762,1.51325,0.75482,0.68919,0.7866,0.53061,1.20243,0.92736,1.48555,0.000812,0.000812,0.000812
92,2644.15,1.22442,1.10305,1.50545,0.73056,0.72252,0.79037,0.53069,1.19535,0.92082,1.50306,0.0007988,0.0007988,0.0007988
93,2662.32,1.2009,1.06766,1.48691,0.7248,0.73082,0.78743,0.52931,1.20537,0.90443,1.47997,0.0007856,0.0007856,0.0007856
94,2680.57,1.22318,1.06511,1.4794,0.72956,0.73046,0.79594,0.52521,1.23767,0.91051,1.49387,0.0007724,0.0007724,0.0007724
95,2698.76,1.21883,1.06529,1.5106,0.76536,0.70107,0.79697,0.51892,1.27128,0.92488,1.49374,0.0007592,0.0007592,0.0007592
96,2716.94,1.20536,1.04618,1.46973,0.74317,0.74263,0.81519,0.54078,1.21271,0.86726,1.47443,0.000746,0.000746,0.000746
97,2736.02,1.18999,1.04763,1.48447,0.70341,0.76944,0.79125,0.52108,1.24197,0.92004,1.47588,0.0007328,0.0007328,0.0007328
98,2754.38,1.20278,1.05814,1.48578,0.72943,0.74263,0.78791,0.5139,1.27317,0.91798,1.48823,0.0007196,0.0007196,0.0007196
99,2772.92,1.20636,1.04149,1.48458,0.7232,0.74263,0.80134,0.52037,1.30428,0.91741,1.4993,0.0007064,0.0007064,0.0007064
100,2791.28,1.20817,1.04513,1.47958,0.67758,0.75218,0.79106,0.53323,1.19107,0.91298,1.44518,0.0006932,0.0006932,0.0006932
101,2809.41,1.18618,1.0471,1.47181,0.7175,0.70816,0.77361,0.51907,1.22686,0.94907,1.48338,0.00068,0.00068,0.00068
102,2827.48,1.2043,1.03114,1.47903,0.70734,0.76136,0.79977,0.53464,1.19735,0.89962,1.46069,0.0006668,0.0006668,0.0006668
103,2845.67,1.19049,1.02859,1.47883,0.77163,0.70107,0.80982,0.55366,1.17904,0.88145,1.44249,0.0006536,0.0006536,0.0006536
104,2864.59,1.17395,1.04534,1.46707,0.77243,0.70241,0.81241,0.55124,1.1825,0.88289,1.43603,0.0006404,0.0006404,0.0006404
105,2882.73,1.16253,1.01294,1.46671,0.72865,0.7185,0.78517,0.52177,1.20741,0.90311,1.46182,0.0006272,0.0006272,0.0006272
106,2900.84,1.19315,1.0235,1.46581,0.75421,0.72805,0.80871,0.54115,1.19917,0.87514,1.45205,0.000614,0.000614,0.000614
107,2918.98,1.18574,1.00957,1.45062,0.75757,0.74141,0.81071,0.54272,1.21645,0.89413,1.4679,0.0006008,0.0006008,0.0006008
108,2937.12,1.16677,0.9974,1.44667,0.74871,0.73995,0.8019,0.53756,1.22861,0.88697,1.46642,0.0005876,0.0005876,0.0005876
109,2955.31,1.18027,1.00127,1.44865,0.71172,0.75067,0.80415,0.54864,1.19255,0.89945,1.44492,0.0005744,0.0005744,0.0005744
110,2973.51,1.17556,0.98206,1.45149,0.72437,0.75737,0.80541,0.54681,1.20571,0.88079,1.46328,0.0005612,0.0005612,0.0005612
111,2991.66,1.18633,1.01117,1.44219,0.73861,0.70777,0.7896,0.53301,1.20311,0.8996,1.44604,0.000548,0.000548,0.000548
112,3009.9,1.15496,0.98954,1.45784,0.73324,0.73323,0.80133,0.53315,1.2158,0.89595,1.4643,0.0005348,0.0005348,0.0005348
113,3028.17,1.17702,0.97344,1.42829,0.7402,0.73458,0.79894,0.55078,1.13744,0.87509,1.42822,0.0005216,0.0005216,0.0005216
114,3046.35,1.16719,1.01324,1.43662,0.73824,0.70695,0.78291,0.53902,1.13789,0.89199,1.45753,0.0005084,0.0005084,0.0005084
115,3064.49,1.15362,1.01718,1.43612,0.71476,0.77346,0.8079,0.55438,1.1521,0.86243,1.43789,0.0004952,0.0004952,0.0004952
116,3083.4,1.16786,0.9946,1.43963,0.69896,0.73056,0.77545,0.52547,1.17319,0.91432,1.46375,0.000482,0.000482,0.000482
117,3101.67,1.12655,0.96865,1.4213,0.77243,0.70643,0.80871,0.55047,1.18329,0.86467,1.45209,0.0004688,0.0004688,0.0004688
118,3119.86,1.16138,0.98734,1.44744,0.73656,0.74665,0.81034,0.55999,1.16343,0.87492,1.43464,0.0004556,0.0004556,0.0004556
119,3139.31,1.1566,0.97899,1.43704,0.78147,0.6855,0.80896,0.56242,1.12908,0.85216,1.43581,0.0004424,0.0004424,0.0004424
120,3158.76,1.1663,0.97815,1.43687,0.7249,0.75871,0.81704,0.55525,1.16214,0.84717,1.4517,0.0004292,0.0004292,0.0004292
121,3177.02,1.14991,0.96422,1.44016,0.69848,0.73592,0.79486,0.53806,1.15296,0.86917,1.43852,0.000416,0.000416,0.000416
122,3195.31,1.14344,0.94758,1.43349,0.77178,0.7118,0.80605,0.54237,1.21842,0.8681,1.46041,0.0004028,0.0004028,0.0004028
123,3213.57,1.10627,0.93919,1.42937,0.73027,0.73995,0.80826,0.54801,1.20692,0.86577,1.45513,0.0003896,0.0003896,0.0003896
124,3231.79,1.17407,1.0026,1.45073,0.70956,0.72118,0.79143,0.53613,1.19294,0.88671,1.44577,0.0003764,0.0003764,0.0003764
125,3250.01,1.13396,0.9336,1.43109,0.70896,0.75067,0.81217,0.55915,1.15596,0.85541,1.42418,0.0003632,0.0003632,0.0003632
126,3268.32,1.14305,0.94354,1.41271,0.73483,0.70241,0.79663,0.55239,1.14011,0.8609,1.42406,0.00035,0.00035,0.00035
127,3286.58,1.11755,0.93977,1.4025,0.73772,0.7252,0.80341,0.54426,1.17848,0.86351,1.44144,0.0003368,0.0003368,0.0003368
128,3304.79,1.13205,0.94548,1.42988,0.69842,0.75737,0.80838,0.54781,1.18088,0.85794,1.45262,0.0003236,0.0003236,0.0003236
129,3323.09,1.14783,0.93687,1.43377,0.75873,0.69973,0.80044,0.55291,1.16597,0.87357,1.43748,0.0003104,0.0003104,0.0003104
130,3341.19,1.09269,0.9144,1.4118,0.76527,0.72544,0.81744,0.5562,1.18245,0.84271,1.43923,0.0002972,0.0002972,0.0002972
131,3373.63,1.03603,0.80314,1.34481,0.75311,0.71984,0.80976,0.5618,1.12264,0.83749,1.42583,0.000284,0.000284,0.000284
132,3391.78,1.04338,0.76691,1.34032,0.69609,0.77346,0.80669,0.55749,1.15067,0.86453,1.43982,0.0002708,0.0002708,0.0002708
133,3410.16,1.02823,0.75355,1.33197,0.76138,0.69839,0.80369,0.54566,1.19823,0.87447,1.46361,0.0002576,0.0002576,0.0002576
